"kappa","alpha_t","Fidelity"
12.,1.8800000000000001,0.8273821134167318
12.,1.8900000000000001,0.827221274357215
12.,1.9000000000000001,0.8270632460048446
12.,1.9100000000000001,0.8269079793065846
12.,1.92,0.8267554260615597
12.,1.93,0.8266055389064897
12.,1.94,0.8264582713013564
12.,1.95,0.8263135775153047
12.,1.96,0.8261714126127704
12.,1.97,0.826031732439835
12.,1.98,0.825894493610803
12.,1.99,0.8257596534949985
12.,2.,0.8256271702037802
12.,2.0100000000000002,0.8254970025777695
12.,2.02,0.8253691101742886
12.,2.0300000000000002,0.8252434532550104
12.,2.04,0.8251199927738082
12.,2.05,0.8249986903648127
12.,2.06,0.824879508330665
12.,2.07,0.8247624096309678
12.,2.08,0.8246473578709292
12.,2.09,0.8245343172901973
12.,2.1,0.824423252751883
12.,2.11,0.8243141297317673
12.,2.12,0.8242069143076911
12.,2.13,0.8241015731491241
12.,2.14,0.8239980735069099
12.,2.15,0.8238963832031865
12.,2.16,0.8237964706214758
12.,2.17,0.8236983046969428
12.,2.18,0.8236018549068214
12.,2.19,0.8235070912610012
12.,2.2,0.8234139842927765
12.,2.21,0.8233225050497534
12.,2.22,0.823232625084911
12.,2.23,0.8231443164478174
12.,2.24,0.8230575516759944
12.,2.25,0.8229723037864314
12.,2.2600000000000002,0.8228885462672455
12.,2.27,0.8228062530694824
12.,2.2800000000000002,0.8227253985990614
12.,2.29,0.8226459577088558
12.,2.3000000000000003,0.8225679056909134
12.,2.31,0.8224912182688064
12.,2.32,0.8224158715901176
12.,2.33,0.8223418422190532
12.,2.34,0.8222691071291846
12.,2.35,0.8221976436963143
12.,2.36,0.8221274296914676
12.,2.37,0.8220584432740012
12.,2.38,0.8219906629848359
12.,2.39,0.8219240677398028
12.,2.4,0.8218586368231053
12.,2.41,0.8217943498808971
12.,2.42,0.8217311869149665
12.,2.43,0.8216691282765356
12.,2.44,0.8216081546601626
12.,2.45,0.8215482470977526
12.,2.46,0.8214893869526714
12.,2.47,0.8214315559139611
12.,2.48,0.8213747359906569
12.,2.49,0.8213189095062023
12.,2.5,0.821264059092961
12.,2.5100000000000002,0.8212101676868244
12.,2.52,0.8211572185219143
12.,2.5300000000000002,0.821105195125374
12.,2.54,0.8210540813122543
12.,2.5500000000000003,0.821003861180486
12.,2.56,0.8209545191059395
12.,2.57,0.8209060397375727
12.,2.58,0.8208584079926612
12.,2.59,0.820811609052112
12.,2.6,0.8207656283558598
12.,2.61,0.8207204515983421
12.,2.62,0.8206760647240544
12.,2.63,0.8206324539231823
12.,2.64,0.8205896056273088
12.,2.65,0.8205475065051984
12.,2.66,0.8205061434586527
12.,2.67,0.8204655036184398
12.,2.68,0.8204255743402937
12.,2.69,0.8203863432009834
12.,2.7,0.8203477979944518
12.,2.71,0.8203099267280198
12.,2.72,0.8202727176186598
12.,2.73,0.8202361590893298
12.,2.74,0.820200239765376
12.,2.75,0.8201649484709954
12.,2.7600000000000002,0.8201302742257606
12.,2.77,0.8200962062412056
12.,2.7800000000000002,0.8200627339174714
12.,2.79,0.8200298468400096
12.,2.8000000000000003,0.8199975347763437
12.,2.81,0.8199657876728874
12.,2.82,0.8199345956518174
12.,2.83,0.8199039490080019
12.,2.84,0.8198738382059825
12.,2.85,0.8198442538770083
12.,2.86,0.8198151868161216
12.,2.87,0.8197866279792964
12.,2.88,0.8197585684806237
12.,2.89,0.8197309995895489
12.,2.9,0.8197039127281558
12.,2.91,0.8196772994684991
12.,2.92,0.8196511515299819
12.,2.93,0.8196254607767808
12.,2.94,0.8196002192153151
12.,2.95,0.8195754189917598
12.,2.96,0.8195510523896032
12.,2.97,0.8195271118272464
12.,2.98,0.8195035898556442
12.,2.99,0.8194804791559891
12.,3.,0.8194577725374335
12.,3.0100000000000002,0.819435462934853
12.,3.02,0.8194135434066492
12.,3.0300000000000002,0.8193920071325895
12.,3.04,0.8193708474116852
12.,3.0500000000000003,0.8193500576601083
12.,3.06,0.8193296314091411
12.,3.0700000000000003,0.8193095623031659
12.,3.08,0.8192898440976863
12.,3.09,0.8192704706573852
12.,3.1,0.819251435954216
12.,3.11,0.8192327340655271
12.,3.12,0.8192143591722192
12.,3.13,0.8191963055569351
12.,3.14,0.8191785676022811
12.,3.15,0.8191611397890788
12.,3.16,0.8191440166946485
12.,3.17,0.8191271929911221
12.,3.18,0.819110663443785
12.,3.19,0.8190944229094482
12.,3.2,0.8190784663348472
12.,3.21,0.8190627887550705
12.,3.22,0.8190473852920153
12.,3.23,0.819032251152868
12.,3.24,0.8190173816286156
12.,3.25,0.8190027720925781
12.,3.2600000000000002,0.818988417998971
12.,3.27,0.8189743148814892
12.,3.2800000000000002,0.8189604583519192
12.,3.29,0.8189468440987719
12.,3.3000000000000003,0.8189334678859428
12.,3.31,0.818920325551393
12.,3.3200000000000003,0.8189074130058547
12.,3.33,0.8188947262315585
12.,3.34,0.8188822612809836
12.,3.35,0.8188700142756298
12.,3.36,0.8188579814048098
12.,3.37,0.8188461589244649
12.,3.38,0.8188345431559989
12.,3.39,0.8188231304851344
12.,3.4,0.8188119173607877
12.,3.41,0.8188009002939642
12.,3.42,0.818790075856672
12.,3.43,0.8187794406808571
12.,3.44,0.8187689914573535
12.,3.45,0.818758724934855
12.,3.46,0.8187486379189026
12.,3.47,0.8187387272708914
12.,3.48,0.8187289899070931
12.,3.49,0.8187194227976972
12.,3.5,0.8187100229658685
12.,3.5100000000000002,0.8187007874868197
12.,3.52,0.8186917134869032
12.,3.5300000000000002,0.8186827981427149
12.,3.54,0.8186740386802173
12.,3.5500000000000003,0.8186654323738756
12.,3.56,0.8186569765458097
12.,3.5700000000000003,0.8186486685649617
12.,3.58,0.8186405058462758
12.,3.59,0.8186324858498957
12.,3.6,0.818624606080373
12.,3.61,0.8186168640858912
12.,3.62,0.818609257457503
12.,3.63,0.8186017838283806
12.,3.64,0.818594440873079
12.,3.65,0.8185872263068132
12.,3.66,0.8185801378847462
12.,3.67,0.8185731734012914
12.,3.68,0.8185663306894261
12.,3.69,0.818559607620017
12.,3.7,0.818553002101158
12.,3.71,0.818546512077519
12.,3.72,0.8185401355297071
12.,3.73,0.8185338704736368
12.,3.74,0.8185277149599144
12.,3.75,0.8185216670732305
12.,3.7600000000000002,0.8185157249317636
12.,3.77,0.8185098866865959
12.,3.7800000000000002,0.8185041505211368
12.,3.79,0.8184985146505582
12.,3.8000000000000003,0.8184929773212393
12.,3.81,0.8184875368102202
12.,3.8200000000000003,0.8184821914246667
12.,3.83,0.8184769395013434
12.,3.84,0.8184717794060955
12.,3.85,0.8184667095333409
12.,3.86,0.8184617283055711
12.,3.87,0.8184568341728585
12.,3.88,0.8184520256123768
12.,3.89,0.8184473011279253
12.,3.9,0.8184426592494634
12.,3.91,0.8184380985326538
12.,3.92,0.8184336175584137
12.,3.93,0.8184292149324712
12.,3.94,0.8184248892849337
12.,3.95,0.8184206392698605
12.,3.96,0.8184164635648438
12.,3.97,0.818412360870598
12.,3.98,0.8184083299105551
12.,3.99,0.8184043694304672
12.,4.,0.8184004781980164
12.,4.01,0.818396655002432
12.,4.0200000000000005,0.8183928986541125
12.,4.03,0.8183892079842565
12.,4.04,0.8183855818444989
12.,4.05,0.8183820191065532
12.,4.0600000000000005,0.8183785186618601
12.,4.07,0.8183750794212439
12.,4.08,0.8183717003145721
12.,4.09,0.8183683802904236
12.,4.1,0.8183651183157604
12.,4.11,0.8183619133756077
12.,4.12,0.8183587644727364
12.,4.13,0.8183556706273538
12.,4.14,0.8183526308767988
12.,4.15,0.8183496442752418
12.,4.16,0.818346709893391
12.,4.17,0.8183438268182024
12.,4.18,0.818340994152597
12.,4.19,0.8183382110151802
12.,4.2,0.8183354765399689
12.,4.21,0.8183327898761208
12.,4.22,0.8183301501876711
12.,4.23,0.8183275566532706
12.,4.24,0.8183250084659317
12.,4.25,0.8183225048327767
12.,4.26,0.8183200449747907
12.,4.2700000000000005,0.8183176281265803
12.,4.28,0.818315253536134
12.,4.29,0.8183129204645894
12.,4.3,0.8183106281860026
12.,4.3100000000000005,0.8183083759871227
12.,4.32,0.81830616316717
12.,4.33,0.8183039890376171
12.,4.34,0.8183018529219759
12.,4.3500000000000005,0.8182997541555861
12.,4.36,0.8182976920854087
12.,4.37,0.8182956660698231
12.,4.38,0.8182936754784271
12.,4.39,0.8182917196918408
12.,4.4,0.8182897981015141
12.,4.41,0.8182879101095373
12.,4.42,0.8182860551284543
12.,4.43,0.8182842325810813
12.,4.44,0.8182824419003257
12.,4.45,0.8182806825290108
12.,4.46,0.8182789539197017
12.,4.47,0.8182772555345352
12.,4.48,0.8182755868450526
12.,4.49,0.8182739473320351
12.,4.5,0.8182723364853419
12.,4.51,0.8182707538037524
12.,4.5200000000000005,0.8182691987948092
12.,4.53,0.8182676709746657
12.,4.54,0.818266169867935
12.,4.55,0.8182646950075421
12.,4.5600000000000005,0.8182632459345791
12.,4.57,0.8182618221981611
12.,4.58,0.8182604233552877
12.,4.59,0.8182590489707037
12.,4.6000000000000005,0.818257698616764
12.,4.61,0.8182563718733014
12.,4.62,0.8182550683274945
12.,4.63,0.8182537875737405
12.,4.64,0.8182525292135279
12.,4.65,0.8182512928553132
12.,4.66,0.8182500781143993
12.,4.67,0.8182488846128149
12.,4.68,0.8182477119791978
12.,4.69,0.8182465598486783
12.,4.7,0.8182454278627671
12.,4.71,0.8182443156692426
12.,4.72,0.8182432229220415
12.,4.73,0.8182421492811518
12.,4.74,0.8182410944125059
12.,4.75,0.8182400579878776
12.,4.76,0.8182390396847795
12.,4.7700000000000005,0.8182380391863631
12.,4.78,0.8182370561813193
12.,4.79,0.8182360903637825
12.,4.8,0.8182351414332354
12.,4.8100000000000005,0.8182342090944141
12.,4.82,0.8182332930572187
12.,4.83,0.8182323930366204
12.,4.84,0.8182315087525744
12.,4.8500000000000005,0.8182306399299328
12.,4.86,0.818229786298358
12.,4.87,0.8182289475922393
12.,4.88,0.8182281235506106
12.,4.89,0.8182273139170679
12.,4.9,0.8182265184396909
12.,4.91,0.8182257368709638
12.,4.92,0.8182249689676988
12.,4.93,0.8182242144909597
12.,4.94,0.8182234732059885
12.,4.95,0.8182227448821318
12.,4.96,0.8182220292927685
12.,4.97,0.8182213262152407
12.,4.98,0.818220635430783
12.,4.99,0.8182199567244555
12.,5.,0.818219289885076
20.,0.,1.
20.,0.01,0.9999038947403752
20.,0.02,0.9996303504614302
20.,0.03,0.9991998184950066
20.,0.04,0.9986306594187823
20.,0.05,0.9979393535285059
20.,0.06,0.9971406901675598
20.,0.07,0.9962479380370712
20.,0.08,0.9952729983965806
20.,0.09,0.994226542873477
20.,0.1,0.9931181374268623
20.,0.11,0.9919563538562965
20.,0.12,0.9907488701062475
20.,0.13,0.9895025604914577
20.,0.14,0.9882235768554501
20.,0.15,0.9869174215727486
20.,0.16,0.9855890132139433
20.,0.17,0.9842427456104809
20.,0.18,0.982882540982057
20.,0.19,0.9815118977229245
20.,0.2,0.9801339333835452
20.,0.21,0.9787514233301498
20.,0.22,0.9773668355163074
20.,0.23,0.9759823617570106
20.,0.24,0.974599945856575
20.,0.25,0.973221308906364
20.,0.26,0.9718479720366234
20.,0.27,0.9704812768781564
20.,0.28,0.9691224039638915
20.,0.29,0.9677723892772915
20.,0.3,0.9664321391337697
20.,0.31,0.9651024435625848
20.,0.32,0.9637839883398658
20.,0.33,0.9624773658082906
20.,0.34,0.961183084605332
20.,0.35000000000000003,0.9599015784097384
20.,0.36,0.9586332138049084
20.,0.37,0.957378297347904
20.,0.38,0.9561370819239408
20.,0.39,0.9549097724581691
20.,0.4,0.9536965310493528
20.,0.41000000000000003,0.9524974815835625
20.,0.42,0.9513127138801575
20.,0.43,0.9501422874170938
20.,0.44,0.9489862346778537
20.,0.45,0.9478445641580606
20.,0.46,0.9467172630660081
20.,0.47000000000000003,0.945604299747901
20.,0.48,0.9445056258655086
20.,0.49,0.9434211783511508
20.,0.5,0.9423508811624327
20.,0.51,0.9412946468568919
20.,0.52,0.9402523780046963
20.,0.53,0.9392239684557118
20.,0.54,0.9382093044756136
20.,0.55,0.9372082657642458
20.,0.56,0.936220726368106
20.,0.5700000000000001,0.9352465554976341
20.,0.58,0.9342856182589203
20.,0.59,0.93333777630847
20.,0.6,0.9324028884388056
20.,0.61,0.9314808111018946
20.,0.62,0.9305713988766988
20.,0.63,0.9296745048864972
20.,0.64,0.9287899811710797
20.,0.65,0.9279176790183804
20.,0.66,0.9270574492596763
20.,0.67,0.926209142532047
20.,0.68,0.9253726095114332
20.,0.6900000000000001,0.924547701119284
20.,0.7000000000000001,0.9237342687054899
20.,0.71,0.922932164210026
20.,0.72,0.9221412403054798
20.,0.73,0.9213613505224294
20.,0.74,0.9205923493594292
20.,0.75,0.9198340923791926
20.,0.76,0.9190864362923914
20.,0.77,0.9183492390303607
20.,0.78,0.9176223598078528
20.,0.79,0.916905659176885
20.,0.8,0.9161989990726056
20.,0.81,0.9155022428520201
