"r","t","Fidelity"
0.,3.8000000000000003,0.5002502257167203
0.,3.81,0.5002452709155565
0.,3.8200000000000003,0.5002404142260292
0.,3.83,0.5002356537053979
0.,3.84,0.5002309874493909
0.,3.85,0.5002264135914434
0.,3.86,0.5002219303019514
0.,3.87,0.5002175357875394
0.,3.88,0.5002132282903429
0.,3.89,0.5002090060873055
0.,3.9,0.5002048674894899
0.,3.91,0.5002008108414017
0.,3.92,0.5001968345203276
0.,3.93,0.500192936935686
0.,3.94,0.5001891165283913
0.,3.95,0.5001853717702296
0.,3.96,0.5001817011632476
0.,3.97,0.5001781032391536
0.,3.98,0.5001745765587299
0.,3.99,0.5001711197112575
0.,4.,0.5001677313139512
0.5,0.,1.
0.5,0.01,0.990123964811333
0.5,0.02,0.9804917698002856
0.5,0.03,0.9710973945314212
0.5,0.04,0.9619349672143838
0.5,0.05,0.9529987610338382
0.5,0.06,0.9442831905700231
0.5,0.07,0.9357828083076829
0.5,0.08,0.9274923012311928
0.5,0.09,0.9194064875037509
0.5,0.1,0.911520313228562
0.5,0.11,0.9038288492899874
0.5,0.12,0.8963272882726872
0.5,0.13,0.8890109414568288
0.5,0.14,0.8818752358874853
0.5,0.15,0.8749157115163888
0.5,0.16,0.8681280184142557
0.5,0.17,0.8615079140519388
0.5,0.18,0.8550512606487093
0.5,0.19,0.8487540225860081
0.5,0.2,0.8426122638850534
0.5,0.21,0.836622145746726
0.5,0.22,0.8307799241521947
0.5,0.23,0.8250819475227823
0.5,0.24,0.8195246544376106
0.5,0.25,0.8141045714075961
0.5,0.26,0.8088183107044065
0.5,0.27,0.8036625682430196
0.5,0.28,0.7986341215165638
0.5,0.29,0.7937298275821449
0.5,0.3,0.7889466210964059
0.5,0.31,0.7842815123995863
0.5,0.32,0.7797315856468886
0.5,0.33,0.7752939969859797
0.5,0.34,0.7709659727794906
0.5,0.35000000000000003,0.7667448078714033
0.5,0.36,0.7626278638962396
0.5,0.37,0.7586125676299971
0.5,0.38,0.7546964093818005
0.5,0.39,0.7508769414252627
0.5,0.4,0.7471517764685769
0.5,0.41000000000000003,0.7435185861623806
0.5,0.42,0.7399750996444621
0.5,0.43,0.7365191021203975
0.5,0.44,0.7331484334792318
0.5,0.45,0.7298609869433399
0.5,0.46,0.7266547077516212
0.5,0.47000000000000003,0.723527591875208
0.5,0.48,0.7204776847648808
0.5,0.49,0.7175030801294131
0.5,0.5,0.714601918744076
0.5,0.51,0.711772387288563
0.5,0.52,0.709012717213605
0.5,0.53,0.7063211836355706
0.5,0.54,0.7036961042583566
0.5,0.55,0.7011358383218986
0.5,0.56,0.6986387855766425
0.5,0.5700000000000001,0.6962033852833368
0.5,0.58,0.6938281152375191
0.5,0.59,0.6915114908180889
0.5,0.6,0.6892520640593719
0.5,0.61,0.6870484227460931
0.5,0.62,0.6848991895306972
0.5,0.63,0.682803021072461
0.5,0.64,0.6807586071978622
0.5,0.65,0.6787646700816776
0.5,0.66,0.6768199634483016
0.5,0.67,0.6749232717927828
0.5,0.68,0.6730734096210939
0.5,0.6900000000000001,0.6712692207091593
0.5,0.7000000000000001,0.669509577380178
0.5,0.71,0.667793379799788
0.5,0.72,0.6661195552886346
0.5,0.73,0.6644870576519106
0.5,0.74,0.662894866525451
0.5,0.75,0.6613419867379714
0.5,0.76,0.659827447689054
0.5,0.77,0.658350302742491
0.5,0.78,0.6569096286346054
0.5,0.79,0.655504524897182
0.5,0.8,0.6541341132946451
0.5,0.81,0.652797537275132
0.5,0.8200000000000001,0.6514939614351216
0.5,0.8300000000000001,0.6502225709972789
0.5,0.84,0.6489825713011927
0.5,0.85,0.6477731873066879
0.5,0.86,0.6465936631093988
0.5,0.87,0.6454432614683054
0.5,0.88,0.6443212633449336
0.5,0.89,0.6432269674539317
0.5,0.9,0.6421596898247457
0.5,0.91,0.6411187633741146
0.5,0.92,0.6401035374891215
0.5,0.93,0.63911337762054
0.5,0.9400000000000001,0.6381476648862199
0.5,0.9500000000000001,0.6372057956842654
0.5,0.96,0.636287181315765
0.5,0.97,0.6353912476168349
0.5,0.98,0.6345174345997482
0.5,0.99,0.6336651961029242
0.5,1.,0.6328339994495595
0.5,1.01,0.6320233251146882
0.5,1.02,0.6312326664004613
0.5,1.03,0.6304615291194441
0.5,1.04,0.6297094312857335
0.5,1.05,0.6289759028137005
0.5,1.06,0.6282604852241718
0.5,1.07,0.627562731357865
0.5,1.08,0.6268822050958999
0.5,1.09,0.6262184810872097
0.5,1.1,0.625571144482683
0.5,1.11,0.6249397906758694
0.5,1.12,0.6243240250500872
0.5,1.1300000000000001,0.6237234627317755
0.5,1.1400000000000001,0.6231377283499353
0.5,1.1500000000000001,0.6225664558015109
0.5,1.16,0.6220092880225628
0.5,1.17,0.621465876765092
0.5,1.18,0.6209358823793729
0.5,1.19,0.6204189736016618
0.5,1.2,0.6199148273471455
0.5,1.21,0.619423128508004
0.5,1.22,0.6189435697564564
0.5,1.23,0.618475851352672
0.5,1.24,0.6180196809574231
0.5,1.25,0.617574773449363
0.5,1.26,0.617140850746816
0.5,1.27,0.6167176416339679
0.5,1.28,0.6163048815913464
0.5,1.29,0.6159023126304884
0.5,1.3,0.6155096831326888
0.5,1.31,0.61512674769173
0.5,1.32,0.6147532669604959
0.5,1.33,0.6143890075013718
0.5,1.34,0.614033741640338
0.5,1.35,0.6136872473246664
